engine,regime,concurrency,num_runs,throughput_median,throughput_spread,throughput_per_request_median,ttft_p50_median,ttft_p95_median,ttft_p95_spread,tpot_p50_median,tpot_p95_median,latency_p50_median,latency_p95_median,latency_p99_median,latency_p95_spread,success_rate_median,reasoning_tokens_mean,answer_tokens_mean,ttft_answer_p50_median
llamacpp,long,1,1,37.46,,37.46,,,,,,14.2074,14.3398,14.3843,,1.0,,,
llamacpp,long,16,1,96.76,,6.05,,,,,,24.9736,295.8203,297.1346,,0.99,,,
llamacpp,long,64,1,166.81,,2.61,,,,,,188.863,296.9892,299.1096,,0.55,,,
llamacpp,short,1,3,47.37,0.51,47.37,,,,,,2.7002,2.7159,2.72,0.0158,1.0,,,
llamacpp,short,4,3,131.74,0.19,32.93,,,,,,3.8922,3.91,3.9157,0.0029,1.0,,,
llamacpp,short,16,3,140.48,0.55,8.78,,,,,,15.4844,27.115,27.1629,0.0753,1.0,,,
llamacpp,short,32,3,154.17,0.51,4.82,,,,,,19.4078,42.4089,42.4735,0.0757,1.0,,,
llamacpp,short,64,3,189.19,0.53,2.96,,,,,,50.221,73.3595,73.4205,0.0504,1.0,,,
qwen3_awq_sglang,reasoning,1,1,8.04,,8.04,0.3769,0.385,,0.1245,0.1245,1019.8551,1020.4808,1020.6008,,1.0,6641.9,254.3,423.6107
qwen3_awq_sglang,reasoning,4,1,29.01,,7.25,0.5153,0.5543,,0.1381,0.1401,1076.1773,1140.4092,1140.4146,,1.0,6173.7,418.6,619.2251
qwen3_awq_sglang,reasoning,16,1,110.54,,6.91,0.505,0.5086,,0.1451,0.1458,912.8193,1194.9842,1194.9848,,1.0,5687.3,430.4,583.3066
qwen3_awq_vllm,reasoning,1,1,24.98,,24.98,0.1131,0.1562,,0.0397,0.0429,308.9432,338.2873,346.573,,1.0,6134.0,409.3,165.6281
qwen3_awq_vllm,reasoning,4,1,99.2,,24.8,0.1358,0.1649,,0.04,0.0409,325.5664,334.121,334.1213,,1.0,6240.5,349.1,145.234
qwen3_awq_vllm,reasoning,16,1,345.49,,21.59,0.5245,0.5279,,0.047,0.0472,374.4538,386.999,386.9994,,1.0,6169.8,402.4,266.3824
qwen3_moe_awq,short,1,1,164.73,,164.73,0.0221,0.0248,,0.0059,0.0059,0.7759,0.7786,0.7824,,1.0,0.1,127.9,0.0278
qwen3_moe_awq,short,4,1,519.76,,129.94,0.0316,0.0372,,0.0075,0.0076,0.9877,0.9975,1.0007,,1.0,,128.0,0.0386
qwen3_moe_awq,short,16,1,1475.63,,92.23,0.0919,0.1242,,0.0104,0.0108,1.3957,1.4522,1.4545,,1.0,,128.0,0.0981
qwen3_moe_awq_long,short,1,1,160.63,,160.63,0.0233,0.0264,,0.0061,0.0061,0.7949,0.7981,0.8497,,1.0,0.1,128.0,0.0291
qwen3_moe_awq_long,short,4,1,508.28,,127.07,0.0341,0.0393,,0.0077,0.0078,1.011,1.0254,1.0279,,1.0,0.1,127.9,0.0407
qwen3_moe_awq_long,short,16,1,1484.87,,92.8,0.0961,0.1245,,0.0102,0.0104,1.3933,1.4134,1.4175,,1.0,,128.0,0.1009
qwen3_moe_bf16,short,1,1,133.7,,133.7,0.0293,0.0356,,0.0073,0.0073,0.9572,0.9635,0.9739,,1.0,0.1,128.0,0.0362
qwen3_moe_bf16,short,4,1,300.87,,75.22,0.0398,0.0541,,0.0131,0.0132,1.6999,1.7263,1.7363,,1.0,,128.0,0.0521
qwen3_moe_vllm,short,1,1,165.04,,165.04,0.0211,0.0234,,0.0059,0.0059,0.774,0.777,0.7934,,1.0,,128.0,0.0269
qwen3_moe_vllm,short,4,1,521.39,,130.35,0.0317,0.0386,,0.0075,0.0076,0.9842,0.9973,0.9989,,1.0,,128.0,0.0388
qwen3_moe_vllm,short,16,1,1490.91,,93.18,0.0834,0.0911,,0.0103,0.0106,1.3862,1.4173,1.4275,,1.0,,128.0,0.0897
qwen3_sglang,reasoning,1,1,15.81,,15.81,0.1984,0.217,,0.0633,0.0638,429.3949,522.6404,523.4436,,1.0,5261.0,614.8,288.2502
qwen3_sglang,reasoning,4,1,55.78,,13.95,0.2831,0.2903,,0.0719,0.0737,502.1814,596.7132,601.0173,,1.0,5728.8,426.7,297.7551
qwen3_sglang,reasoning,16,1,146.96,,9.18,0.3936,513.7147,,0.0762,0.1098,791.7184,1074.6632,1148.0375,,0.9,6382.8,411.9,663.6593
qwen3_vllm,reasoning,1,1,15.42,,15.42,0.1517,0.1535,,0.0646,0.0667,528.6537,530.7872,531.7512,,1.0,6510.5,420.8,389.7941
qwen3_vllm,reasoning,4,1,54.81,,13.7,0.2326,0.2719,,0.0732,0.0742,591.4449,607.7567,610.9681,,1.0,6215.4,263.9,201.528
qwen3_vllm,reasoning,16,1,174.21,,10.89,0.4539,0.4559,,0.081,0.1195,625.1075,979.4301,1016.3687,,1.0,6149.9,404.2,399.2057
sglang,long,1,1,17.13,,17.13,0.1198,0.448,,0.0582,0.0585,29.8731,30.0793,30.2167,,1.0,,,
sglang,long,16,1,249.28,,15.58,0.2471,0.3101,,0.0639,0.0644,32.8977,33.123,33.1312,,1.0,,,
sglang,long,64,1,839.56,,13.12,0.8894,0.9484,,0.0764,0.0767,39.9774,40.069,40.0756,,1.0,,,
sglang,short,1,3,17.12,0.01,17.12,0.1186,0.1304,0.017,0.0577,0.0594,7.4472,7.6634,7.6875,0.0131,1.0,,,
sglang,short,4,3,66.77,0.87,16.69,0.1193,0.2552,0.1395,0.0589,0.0612,7.6031,7.9457,7.9919,0.3699,1.0,,,
sglang,short,16,3,261.47,0.45,16.34,0.2216,0.2322,0.0031,0.0601,0.0606,7.8591,7.8711,7.8778,0.0052,1.0,,,
sglang,short,32,3,483.31,2.47,15.1,0.2442,0.2765,0.0148,0.0649,0.0654,8.5057,8.5393,8.5468,0.08,1.0,,,
sglang,short,64,3,913.9,12.08,14.28,0.3135,0.3381,0.1805,0.069,0.0696,9.0802,9.1232,9.1259,0.1839,1.0,,,
sglang_awq,long,1,1,8.29,,8.29,0.2458,0.5769,,0.1203,0.1207,61.6922,62.1933,62.2198,,1.0,,,
sglang_awq,long,16,1,129.75,,8.11,0.2499,0.4811,,0.123,0.1236,63.0868,63.5116,63.5179,,1.0,,,
